dna_con
1
16.18
90.69
14.71
50.63
49.84
47.42
13.76
46.11
47.47
64.95
16.45
32.71
52.52
34.71
63.09
168.15
20.78
53.97
53.92
77.95
52.51
69.35
37.65
78.65
33.55
53.61
44.92
76.24
41.22
55.45
48.31
34.78
23.22
27.97
40.31
43.23
46.08
84.26
102.25
85.98
52.23
19.74
65.96
70.28
53.82
64.3
95.65
84.89
135.86
113.77
105.74
47.11
68.28
109.38
45.9
50.82
9.99
21
41.01
20.02
35.44
57.65
27.38
53.51
25.25
37.73
84.48
44.42
55.71
62.02
142.45
30.31
26
91.67
46.25
16.07
16.74
26.23
35.91
42.68
9.56
31
49.25
30.39
62.09
64.85
11.25
41.74
6.85
132.4
84.67
13.54
25.75
136.46
61.77
